"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","weight"
"hsa-miR-301b(1)",20.570981231442,-0.444365127337974,0.54541273935666,-0.814731844844921,0.415225820919247,0.869058537647469,1
"hsa-miR-30a(1)",139.838845754775,0.569681866255623,0.512626640531444,1.11129976714638,0.266439339601803,0.77193106985349,1
"hsa-miR-30aSTAR(1)",20.2176720422104,0.228329593465293,0.591175844196459,0.386229572312184,0.699326654191263,0.901505107380754,1
"hsa-miR-30b(1)",378.069584815692,0.148818925878793,0.508954162896356,0.292401431657213,0.769979713734825,0.901505107380754,1
"hsa-miR-30c(2)",617.80145771936,0.251243279578846,0.545492296723085,0.460580802127052,0.645099387720184,0.901505107380754,1
"hsa-miR-30d(1)",4301.5726053261,0.538188072034906,0.540895174973615,0.994995143118365,0.319738626555166,0.795650847318158,1
"hsa-miR-30dSTAR(1)",21.1393503881331,0.687850153818282,0.555341713794775,1.23860703550981,0.215491061334635,0.77193106985349,1
"hsa-miR-30e(1)",3265.13857414888,0.39655147775981,0.62463914213956,0.634848908765968,0.525526961444065,0.869228402088236,1
"hsa-miR-30eSTAR(1)",172.436688060734,-0.00568029926969471,0.475971328487053,-0.0119341206701471,0.99047817539258,0.994146613079219,1
"hsa-miR-32(1)",446.266122243323,0.813708838501166,0.697459780883211,1.16667492636027,0.24334167227034,0.77193106985349,1
"hsa-miR-320(1)",2964.37812962931,0.798045320660003,0.550346398579359,1.45007821023276,0.147036710661829,0.77193106985349,1
"hsa-miR-323a(1)",22.731926119032,-1.17509984771604,0.607530823030174,-1.93422259936543,0.0530857649238151,0.760324285233523,1
"hsa-miR-323b(1)",40.9001789113783,-1.74563288376988,0.555004223650054,-3.14526053926133,0.00165938978196052,0.4496946309113,1
"hsa-miR-324-3p(1)",74.9395406380459,0.162811322727722,0.553970717104071,0.293898788691995,0.768835243737276,0.901505107380754,1
"hsa-miR-324-5p(1)",33.110259792145,-0.225344116906141,0.538377494668844,-0.418561546754011,0.67553659738065,0.901505107380754,1
"hsa-miR-328(1)",182.332643019779,0.373758330579011,0.511045866354056,0.731359659056647,0.464559499022932,0.869228402088236,1
"hsa-miR-329(2)",23.302187527752,-0.408773858021912,0.672352309815091,-0.607975687827014,0.543203598739637,0.876239138443105,1
"hsa-miR-330(1)",31.3976377370373,-0.572896907942727,0.503607963897191,-1.13758508405892,0.255293777910293,0.77193106985349,1
"hsa-miR-331(1)",15.9309946196886,-0.690189126213766,0.614638457432012,-1.12291887672862,0.261471949638563,0.77193106985349,1
"hsa-miR-331STAR(1)",20.2168415896405,0.721133312792079,0.612469857235906,1.17741845459395,0.239028527553594,0.77193106985349,1
"hsa-miR-335-3p(1)",24.5805398622824,0.445040310462656,0.615179081528263,0.723432125417954,0.469414440235201,0.869228402088236,1
"hsa-miR-335-5p(1)",435.988406556433,-0.14897208161052,0.511322821168519,-0.291346436034433,0.770786376186425,0.901505107380754,1
"hsa-miR-337(1)",22.3664342902795,-0.928875308146518,0.596475342179618,-1.55727360791186,0.119405538692159,0.760324285233523,1
"hsa-miR-338-5p(1)",20.4470254816465,-0.0582713936982731,0.595892462267341,-0.0977884390021538,0.922100287722337,0.960226629010807,1
"hsa-miR-339-3p(1)",96.0223743534523,-0.0467891370062097,0.496360645819645,-0.0942643970674717,0.92489913096986,0.960226629010807,1
"hsa-miR-339-5p(1)",119.872341488696,0.452730463476116,0.497721744001611,0.909605555578561,0.363030567670999,0.833739693549498,1
"hsa-miR-33a(1)",85.7894550817478,-0.206331562169053,0.657324886044488,-0.313895862684695,0.753600132792568,0.901505107380754,1
"hsa-miR-33b(1)",10.1293499190908,-1.1806675650668,0.913109272705734,-1.29301891937668,0.196004515689234,0.77193106985349,1
"hsa-miR-340(1)",453.187066829799,0.158280142221271,0.546610613216829,0.289566536752342,0.772147870451421,0.901505107380754,1
"hsa-miR-340STAR(1)",22.7919952682663,-0.715484582089515,0.63985704436839,-1.11819442856299,0.26348396330162,0.77193106985349,1
"hsa-miR-342(1)",103.753857623831,0.0869326148998287,0.469793935690807,0.185044140197338,0.853194414486656,0.943737495207689,1
"hsa-miR-342STAR(1)",14.7692994320386,0.228076734509778,0.614486858152661,0.37116617138965,0.710513767646468,0.901505107380754,1
"hsa-miR-345(1)",61.974157611104,0.209276199463243,0.510325239650602,0.410083968424776,0.68174435244813,0.901505107380754,1
"hsa-miR-361-3p(1)",28.5043942672473,0.123853094922812,0.571084036364629,0.216873677140808,0.828306791990759,0.92374954991562,1
"hsa-miR-361-5p(1)",338.154622828901,0.0416909288664877,0.544493520833508,0.0765682735814145,0.938966998848206,0.960226629010807,1
"hsa-miR-3613(1)",32.1941364207578,0.0440627363997309,0.657305162611466,0.0670354333209101,0.946553494920322,0.961165822411421,1
"hsa-miR-363(1)",142.695422830268,1.21593919697705,0.642461861361597,1.89262471456292,0.0584077946851671,0.760324285233523,1
"hsa-miR-369(1)",100.860418761685,0.243514854154387,0.812807420169187,0.299597233135124,0.764484394924756,0.901505107380754,1
"hsa-miR-370(1)",35.9792424179198,0.0812437741912327,0.656434617939398,0.123765218912835,0.901501171315012,0.95806595069164,1
"hsa-miR-374a(1)",393.447736414125,0.267311759588667,0.526863049584061,0.507364788249431,0.611898887359847,0.901505107380754,1
"hsa-miR-374aSTAR(1)",19.8602209055095,-0.273712889702733,0.633393617522856,-0.432137113684851,0.665641761833537,0.901505107380754,1
"hsa-miR-374b(1)",316.17705949068,-0.234739000952588,0.524487445650197,-0.44755885560156,0.654471602731338,0.901505107380754,1
